experience,age,governorate,disability,education,gender,clusters,nodes,durations
0,20,irbid,no_disability,secondary_or_below,male,1,0,4.0
0,20,irbid,no_disability,vocational_training,male,1,0,14.717188
0,20,zarqa,no_disability,secondary_or_below,male,1,5,4.0
0,20,maadaba,no_disability,secondary_or_below,male,1,2,14.150782
0,20,irbid,no_disability,secondary_or_below,male,1,0,16.219791
0,20,amman,no_disability,secondary_or_below,male,1,8,9.1
1,20,amman,no_disability,secondary_or_below,male,1,12,30.466667
0,20,zarqa,no_disability,vocational_training,male,1,5,9.882031
0,20,al_aqaba,no_disability,secondary_or_below,male,1,3,3.0666666
0,20,al_aqaba,no_disability,vocational_training,male,1,3,17.266666
0,20,amman,no_disability,secondary_or_below,male,1,8,11.133333
0,20,amman,no_disability,secondary_or_below,male,1,8,9.133333
0,20,amman,no_disability,secondary_or_below,male,1,8,19.333334
0,20,amman,no_disability,secondary_or_below,male,1,8,5.1
1,20,amman,no_disability,secondary_or_below,male,1,12,4.0666666
0,20,al_kirk,no_disability,secondary_or_below,male,1,3,16.28418
1,20,al_aqaba,no_disability,secondary_or_below,male,1,12,5.1
0,20,amman,no_disability,secondary_or_below,male,1,8,4.1
0,20,amman,no_disability,secondary_or_below,male,1,8,5.1
0,20,irbid,no_disability,vocational_training,male,1,0,6.6171875
0,20,al_aqaba,no_disability,secondary_or_below,male,1,3,13.583789
0,20,zarqa,no_disability,secondary_or_below,male,1,5,11.133333
0,20,zarqa,no_disability,secondary_or_below,male,1,5,4.0666666
0,30,irbid,no_disability,secondary_or_below,male,1,0,10.217904
0,20,zarqa,no_disability,secondary_or_below,male,1,5,13.166667
0,20,tafileh,no_disability,secondary_or_below,male,1,2,12.118295
0,20,amman,no_disability,secondary_or_below,male,1,8,3.1481771
0,20,irbid,no_disability,secondary_or_below,male,1,0,7.247721
1,20,maadaba,no_disability,secondary_or_below,male,1,10,6.1
1,20,maadaba,no_disability,secondary_or_below,male,1,10,15.2
1,20,maadaba,no_disability,secondary_or_below,male,1,10,10.133333
0,30,irbid,no_disability,secondary_or_below,male,1,0,45.633335
0,20,amman,no_disability,secondary_or_below,male,1,8,2.2854817
1,20,maadaba,no_disability,secondary_or_below,male,1,10,2.0333333
0,20,tafileh,no_disability,secondary_or_below,male,1,2,11.597265
0,20,amman,no_disability,secondary_or_below,male,1,8,8.066667
0,20,al_aqaba,no_disability,secondary_or_below,male,1,3,7.146289
0,20,irbid,no_disability,secondary_or_below,male,1,0,3.3502605
0,20,al_kirk,no_disability,secondary_or_below,male,1,3,3.4497397
0,20,maadaba,no_disability,secondary_or_below,male,1,2,10.886067
0,20,amman,no_disability,secondary_or_below,male,1,8,20.266666
